identifier,hardness,resistance
air,0.0,0.0
stone,1.5,6.0
granite,1.5,6.0
polished_granite,1.5,6.0
diorite,1.5,6.0
polished_diorite,1.5,6.0
andesite,1.5,6.0
polished_andesite,1.5,6.0
grass_block,0.6,0.6
dirt,0.5,0.5
coarse_dirt,0.5,0.5
podzol,0.5,0.5
cobblestone,2.0,6.0
oak_planks,2.0,3.0
spruce_planks,2.0,3.0
birch_planks,2.0,3.0
jungle_planks,2.0,3.0
acacia_planks,2.0,3.0
cherry_planks,2.0,3.0
dark_oak_planks,2.0,3.0
pale_oak_wood,2.0,2.0
pale_oak_planks,2.0,3.0
mangrove_planks,2.0,3.0
bamboo_planks,2.0,3.0
bamboo_mosaic,2.0,3.0
oak_sapling,0.0,0.0
spruce_sapling,0.0,0.0
birch_sapling,0.0,0.0
jungle_sapling,0.0,0.0
acacia_sapling,0.0,0.0
cherry_sapling,0.0,0.0
dark_oak_sapling,0.0,0.0
pale_oak_sapling,0.0,0.0
mangrove_propagule,0.0,0.0
bedrock,-1.0,3600000.0
water,100.0,100.0
lava,100.0,100.0
sand,0.5,0.5
suspicious_sand,0.25,0.25
red_sand,0.5,0.5
gravel,0.6,0.6
suspicious_gravel,0.25,0.25
gold_ore,3.0,3.0
deepslate_gold_ore,4.5,3.0
iron_ore,3.0,3.0
deepslate_iron_ore,4.5,3.0
coal_ore,3.0,3.0
deepslate_coal_ore,4.5,3.0
nether_gold_ore,3.0,3.0
oak_log,2.0,2.0
spruce_log,2.0,2.0
birch_log,2.0,2.0
jungle_log,2.0,2.0
acacia_log,2.0,2.0
cherry_log,2.0,2.0
dark_oak_log,2.0,2.0
pale_oak_log,2.0,2.0
mangrove_log,2.0,2.0
mangrove_roots,0.7,0.7
muddy_mangrove_roots,0.7,0.7
bamboo_block,2.0,2.0
stripped_spruce_log,2.0,2.0
stripped_birch_log,2.0,2.0
stripped_jungle_log,2.0,2.0
stripped_acacia_log,2.0,2.0
stripped_cherry_log,2.0,2.0
stripped_dark_oak_log,2.0,2.0
stripped_pale_oak_log,2.0,2.0
stripped_oak_log,2.0,2.0
stripped_mangrove_log,2.0,2.0
stripped_bamboo_block,2.0,2.0
oak_wood,2.0,2.0
spruce_wood,2.0,2.0
birch_wood,2.0,2.0
jungle_wood,2.0,2.0
acacia_wood,2.0,2.0
cherry_wood,2.0,2.0
dark_oak_wood,2.0,2.0
mangrove_wood,2.0,2.0
stripped_oak_wood,2.0,2.0
stripped_spruce_wood,2.0,2.0
stripped_birch_wood,2.0,2.0
stripped_jungle_wood,2.0,2.0
stripped_acacia_wood,2.0,2.0
stripped_cherry_wood,2.0,2.0
stripped_dark_oak_wood,2.0,2.0
stripped_pale_oak_wood,2.0,2.0
stripped_mangrove_wood,2.0,2.0
oak_leaves,0.2,0.2
spruce_leaves,0.2,0.2
birch_leaves,0.2,0.2
jungle_leaves,0.2,0.2
acacia_leaves,0.2,0.2
cherry_leaves,0.2,0.2
dark_oak_leaves,0.2,0.2
pale_oak_leaves,0.2,0.2
mangrove_leaves,0.2,0.2
azalea_leaves,0.2,0.2
flowering_azalea_leaves,0.2,0.2
sponge,0.6,0.6
wet_sponge,0.6,0.6
glass,0.3,0.3
lapis_ore,3.0,3.0
deepslate_lapis_ore,4.5,3.0
lapis_block,3.0,3.0
