identifier,hardness,resistance,mapColorId,light,sound,hasCollision,randomTick,isAir,ignitedByLava,liquid,legacySolid
air,0.0,0.0,0,0,STONE,false,false,true,false,false,false
stone,1.5,6.0,11,0,STONE,true,false,false,false,false,true
granite,1.5,6.0,10,0,STONE,true,false,false,false,false,true
polished_granite,1.5,6.0,10,0,STONE,true,false,false,false,false,true
diorite,1.5,6.0,14,0,STONE,true,false,false,false,false,true
polished_diorite,1.5,6.0,14,0,STONE,true,false,false,false,false,true
andesite,1.5,6.0,11,0,STONE,true,false,false,false,false,true
polished_andesite,1.5,6.0,11,0,STONE,true,false,false,false,false,true
grass_block,0.6,0.6,1,0,GRASS,true,true,false,false,false,true
dirt,0.5,0.5,10,0,GRAVEL,true,false,false,false,false,true
coarse_dirt,0.5,0.5,10,0,GRAVEL,true,false,false,false,false,true
podzol,0.5,0.5,34,0,GRAVEL,true,false,false,false,false,true
cobblestone,2.0,6.0,11,0,STONE,true,false,false,false,false,true
oak_planks,2.0,3.0,13,0,WOOD,true,false,false,true,false,true
spruce_planks,2.0,3.0,34,0,WOOD,true,false,false,true,false,true
birch_planks,2.0,3.0,2,0,WOOD,true,false,false,true,false,true
jungle_planks,2.0,3.0,10,0,WOOD,true,false,false,true,false,true
acacia_planks,2.0,3.0,15,0,WOOD,true,false,false,true,false,true
cherry_planks,2.0,3.0,36,0,CHERRY_WOOD,true,false,false,true,false,true
dark_oak_planks,2.0,3.0,26,0,WOOD,true,false,false,true,false,true
pale_oak_wood,2.0,2.0,11,0,WOOD,true,false,false,true,false,true
pale_oak_planks,2.0,3.0,14,0,WOOD,true,false,false,true,false,true
mangrove_planks,2.0,3.0,28,0,WOOD,true,false,false,true,false,true
bamboo_planks,2.0,3.0,18,0,BAMBOO_WOOD,true,false,false,true,false,true
bamboo_mosaic,2.0,3.0,18,0,BAMBOO_WOOD,true,false,false,true,false,true
oak_sapling,0.0,0.0,7,0,GRASS,false,true,false,false,false,false
spruce_sapling,0.0,0.0,7,0,GRASS,false,true,false,false,false,false
birch_sapling,0.0,0.0,7,0,GRASS,false,true,false,false,false,false
jungle_sapling,0.0,0.0,7,0,GRASS,false,true,false,false,false,false
acacia_sapling,0.0,0.0,7,0,GRASS,false,true,false,false,false,false
cherry_sapling,0.0,0.0,20,0,CHERRY_SAPLING,false,true,false,false,false,false
dark_oak_sapling,0.0,0.0,7,0,GRASS,false,true,false,false,false,false
pale_oak_sapling,0.0,0.0,6,0,GRASS,false,true,false,false,false,false
mangrove_propagule,0.0,0.0,7,0,GRASS,false,true,false,false,false,false
bedrock,-1.0,3600000.0,11,0,STONE,true,false,false,false,false,true
water,100.0,100.0,12,0,EMPTY,false,false,false,false,true,false
lava,100.0,100.0,4,15,EMPTY,false,true,false,false,true,false
sand,0.5,0.5,2,0,SAND,true,false,false,false,false,true
suspicious_sand,0.25,0.25,2,0,SUSPICIOUS_SAND,true,false,false,false,false,true
red_sand,0.5,0.5,15,0,SAND,true,false,false,false,false,true
gravel,0.6,0.6,11,0,GRAVEL,true,false,false,false,false,true
suspicious_gravel,0.25,0.25,11,0,SUSPICIOUS_GRAVEL,true,false,false,false,false,true
gold_ore,3.0,3.0,11,0,STONE,true,false,false,false,false,true
deepslate_gold_ore,4.5,3.0,59,0,DEEPSLATE,true,false,false,false,false,true
iron_ore,3.0,3.0,11,0,STONE,true,false,false,false,false,true
deepslate_iron_ore,4.5,3.0,59,0,DEEPSLATE,true,false,false,false,false,true
coal_ore,3.0,3.0,11,0,STONE,true,false,false,false,false,true
deepslate_coal_ore,4.5,3.0,59,0,DEEPSLATE,true,false,false,false,false,true
nether_gold_ore,3.0,3.0,35,0,NETHER_GOLD_ORE,true,false,false,false,false,true
oak_log,2.0,2.0,13,0,WOOD,true,false,false,true,false,true
spruce_log,2.0,2.0,34,0,WOOD,true,false,false,true,false,true
birch_log,2.0,2.0,2,0,WOOD,true,false,false,true,false,true
jungle_log,2.0,2.0,10,0,WOOD,true,false,false,true,false,true
acacia_log,2.0,2.0,15,0,WOOD,true,false,false,true,false,true
cherry_log,2.0,2.0,36,0,CHERRY_WOOD,true,false,false,true,false,true
dark_oak_log,2.0,2.0,26,0,WOOD,true,false,false,true,false,true
pale_oak_log,2.0,2.0,14,0,WOOD,true,false,false,true,false,true
mangrove_log,2.0,2.0,28,0,WOOD,true,false,false,true,false,true
mangrove_roots,0.7,0.7,34,0,MANGROVE_ROOTS,true,false,false,true,false,true
muddy_mangrove_roots,0.7,0.7,34,0,MUDDY_MANGROVE_ROOTS,true,false,false,false,false,true
bamboo_block,2.0,2.0,18,0,BAMBOO_WOOD,true,false,false,true,false,true
stripped_spruce_log,2.0,2.0,34,0,WOOD,true,false,false,true,false,true
stripped_birch_log,2.0,2.0,2,0,WOOD,true,false,false,true,false,true
stripped_jungle_log,2.0,2.0,10,0,WOOD,true,false,false,true,false,true
stripped_acacia_log,2.0,2.0,15,0,WOOD,true,false,false,true,false,true
stripped_cherry_log,2.0,2.0,36,0,CHERRY_WOOD,true,false,false,true,false,true
stripped_dark_oak_log,2.0,2.0,26,0,WOOD,true,false,false,true,false,true
stripped_pale_oak_log,2.0,2.0,14,0,WOOD,true,false,false,true,false,true
stripped_oak_log,2.0,2.0,13,0,WOOD,true,false,false,true,false,true
stripped_mangrove_log,2.0,2.0,28,0,WOOD,true,false,false,true,false,true
stripped_bamboo_block,2.0,2.0,18,0,BAMBOO_WOOD,true,false,false,true,false,true
oak_wood,2.0,2.0,13,0,WOOD,true,false,false,true,false,true
spruce_wood,2.0,2.0,34,0,WOOD,true,false,false,true,false,true
birch_wood,2.0,2.0,2,0,WOOD,true,false,false,true,false,true
jungle_wood,2.0,2.0,10,0,WOOD,true,false,false,true,false,true
acacia_wood,2.0,2.0,21,0,WOOD,true,false,false,true,false,true
cherry_wood,2.0,2.0,43,0,CHERRY_WOOD,true,false,false,true,false,true
dark_oak_wood,2.0,2.0,26,0,WOOD,true,false,false,true,false,true
mangrove_wood,2.0,2.0,28,0,WOOD,true,false,false,true,false,true
stripped_oak_wood,2.0,2.0,13,0,WOOD,true,false,false,true,false,true
stripped_spruce_wood,2.0,2.0,34,0,WOOD,true,false,false,true,false,true
stripped_birch_wood,2.0,2.0,2,0,WOOD,true,false,false,true,false,true
stripped_jungle_wood,2.0,2.0,10,0,WOOD,true,false,false,true,false,true
stripped_acacia_wood,2.0,2.0,15,0,WOOD,true,false,false,true,false,true
stripped_cherry_wood,2.0,2.0,42,0,CHERRY_WOOD,true,false,false,true,false,true
stripped_dark_oak_wood,2.0,2.0,26,0,WOOD,true,false,false,true,false,true
stripped_pale_oak_wood,2.0,2.0,14,0,WOOD,true,false,false,true,false,true
stripped_mangrove_wood,2.0,2.0,28,0,WOOD,true,false,false,true,false,true
oak_leaves,0.2,0.2,7,0,GRASS,true,true,false,true,false,true
spruce_leaves,0.2,0.2,7,0,GRASS,true,true,false,true,false,true
birch_leaves,0.2,0.2,7,0,GRASS,true,true,false,true,false,true
jungle_leaves,0.2,0.2,7,0,GRASS,true,true,false,true,false,true
acacia_leaves,0.2,0.2,7,0,GRASS,true,true,false,true,false,true
cherry_leaves,0.2,0.2,20,0,CHERRY_LEAVES,true,true,false,true,false,true
dark_oak_leaves,0.2,0.2,7,0,GRASS,true,true,false,true,false,true
pale_oak_leaves,0.2,0.2,6,0,GRASS,true,true,false,true,false,true
mangrove_leaves,0.2,0.2,7,0,GRASS,true,true,false,true,false,true
azalea_leaves,0.2,0.2,7,0,AZALEA_LEAVES,true,true,false,true,false,true
