id,name,rgb
0,NONE,0
1,GRASS,8368696
2,SAND,16247203
3,WOOL,13092807
4,FIRE,16711680
5,ICE,10526975
6,METAL,10987431
7,PLANT,31744
8,SNOW,16777215
9,CLAY,10791096
10,DIRT,9923917
11,STONE,7368816
12,WATER,4210943
13,WOOD,9402184
14,QUARTZ,16776437
15,COLOR_ORANGE,14188339
16,COLOR_MAGENTA,11685080
17,COLOR_LIGHT_BLUE,6724056
18,COLOR_YELLOW,15066419
19,COLOR_LIGHT_GREEN,8375321
20,COLOR_PINK,15892389
21,COLOR_GRAY,5000268
22,COLOR_LIGHT_GRAY,10066329
23,COLOR_CYAN,5013401
24,COLOR_PURPLE,8339378
25,COLOR_BLUE,3361970
26,COLOR_BROWN,6704179
27,COLOR_GREEN,6717235
28,COLOR_RED,10040115
29,COLOR_BLACK,1644825
30,GOLD,16445005
31,DIAMOND,6085589
32,LAPIS,4882687
33,EMERALD,55610
34,PODZOL,8476209
35,NETHER,7340544
36,TERRACOTTA_WHITE,13742497
37,TERRACOTTA_ORANGE,10441252
38,TERRACOTTA_MAGENTA,9787244
39,TERRACOTTA_LIGHT_BLUE,7367818
40,TERRACOTTA_YELLOW,12223780
41,TERRACOTTA_LIGHT_GREEN,6780213
42,TERRACOTTA_PINK,10505550
43,TERRACOTTA_GRAY,3746083
44,TERRACOTTA_LIGHT_GRAY,8874850
45,TERRACOTTA_CYAN,5725276
46,TERRACOTTA_PURPLE,8014168
47,TERRACOTTA_BLUE,4996700
48,TERRACOTTA_BROWN,4993571
49,TERRACOTTA_GREEN,5001770
50,TERRACOTTA_RED,9321518
51,TERRACOTTA_BLACK,2430480
52,CRIMSON_NYLIUM,12398641
53,CRIMSON_STEM,9715553
54,CRIMSON_HYPHAE,6035741
55,WARPED_NYLIUM,1474182
56,WARPED_STEM,3837580
57,WARPED_HYPHAE,5647422
58,WARPED_WART_BLOCK,1356933
59,DEEPSLATE,6579300
60,RAW_IRON,14200723
61,GLOW_LICHEN,8365974
